zone_id,gid,tract,area,acres
206,733,600300.0,2320176.0,53.263999939
955,157,428000.0,541219.5,12.4250001907
735,293,450601.0,50389920.0,1156.79296875
1143,394,343002.0,3438894.5,78.9459991455
1175,403,345109.0,11216373.0,257.492004395
1156,421,353001.0,13625426.0,312.79699707
1036,107,420200.0,450826.375,10.3500003815
1102,431,355303.0,64354524.0,1477.37695312
1167,401,345107.0,11031637.0,253.251998901
1161,405,345201.0,40051312.0,919.452026367
1079,443,360100.0,10259303.0,235.520996094
1035,106,420100.0,525501.625,12.0640001297
1062,467,378000.0,17448212.0,400.555999756
1404,485,101100.0,34191932.0,784.939025879
1448,531,130200.0,4116801.75,94.5090026855
1424,496,106001.0,11780390.0,270.441009521
1427,502,110100.0,6949213.5,159.531997681
1292,551,201001.0,41205636.0,945.95098877
1428,506,112200.0,4475905.5,102.752998352
1418,507,113000.0,25478026.0,584.895019531
1417,514,118200.0,72451840.0,1663.26501465
1436,515,119100.0,6612026.5,151.791000366
1452,527,127000.0,4387835.5,100.731002808
931,58,405700.0,542712.1875,12.4589996338
1205,338,309000.0,18810024.0,431.819000244
1126,358,321102.0,5417219.5,124.361999512
1132,412,348000.0,9958161.0,228.608001709
1141,388,338302.0,6574711.0,150.934997559
1154,424,354002.0,14739704.0,338.37701416
1163,407,346101.0,8121337.0,186.440002441
835,205,435800.0,1331039.875,30.5559997559
813,222,437300.0,1049834.625,24.1009998322
28,573,11200.0,178771.09375,4.10400009155
747,279,443200.0,13355953.0,306.609985352
768,284,444300.0,25174422.0,577.924987793
746,300,450701.0,269063520.0,6176.84912109
1181,320,301000.0,119500840.0,2743.36206055
1180,321,302002.0,23703562.0,544.158996582
1178,325,303200.0,38536384.0,884.67401123
1183,329,306002.0,9471128.0,217.427001953
946,33,403300.0,908365.625,20.8530006409
828,210,436300.0,1783973.875,40.9539985657
288,829,608900.0,6257348.5,143.649002075
300,878,613300.0,9545877.0,219.143005371
299,879,613400.0,44985384.0,1032.7220459
757,274,443001.0,766396.4375,17.5939998627
345,875,612900.0,1620041.75,37.1910018921
1038,109,420400.0,1009052.625,23.1650009155
982,25,402500.0,368821.25,8.46700000763
14,1385,,123610.179688,2.83800005913
587,970,503507.0,378121.53125,8.68000030518
1383,1360,153600.0,41574968.0,954.429992676
1409,491,104101.0,5941916.5,136.408004761
1453,532,131000.0,57764352.0,1326.08703613
35,569,10800.0,233947.0625,5.37099981308
629,991,504201.0,2992013.25,68.68699646
637,992,504202.0,15763863.0,361.889007568
628,994,504308.0,18519912.0,425.158996582
1037,110,420500.0,391751.40625,8.99300003052
27,574,11300.0,104269.234375,2.39400005341
1034,111,420600.0,803967.6875,18.4570007324
8,584,12500.0,206497.953125,4.74100017548
514,1068,506900.0,9365601.0,215.005004883
510,1074,507206.0,3170327.5,72.78099823
267,821,608200.0,1095220.5,25.142999649
298,877,613200.0,40048904.0,919.395996094
294,881,613502.0,24016242.0,551.336975098
293,882,613600.0,21256426.0,487.980010986
296,883,613700.0,112823048.0,2590.06103516
513,1070,507002.0,13681070.0,314.074005127
357,1148,511200.0,2097461.0,48.1510009766
355,1151,511604.0,4053599.0,93.0579986572
695,1161,511909.0,24028614.0,551.62097168
69,601,15700.0,841987.625,19.329000473
1414,489,103100.0,41732872.0,958.054992676
1030,112,421100.0,745359.75,17.111000061
698,1198,512308.0,14964194.0,343.531005859
86,602,15800.0,505949.21875,11.6149997711
73,596,15200.0,281193.75,6.45499992371
512,1157,511800.0,140707584.0,3230.2019043
994,144,424002.0,322624.59375,7.40600013733
76,604,16000.0,166050.21875,3.81200003624
1350,1322,151502.0,27178310.0,623.927978516
1352,1323,151503.0,14531757.0,333.602996826
1370,1343,152901.0,27506290.0,631.458007812
989,16,401600.0,632937.5,14.529999733
983,24,402400.0,325280.46875,7.46700000763
1368,1340,152702.0,20733574.0,475.976989746
1356,1332,152202.0,2785277.25,63.9410018921
990,15,401500.0,468179.9375,10.748000145
79,606,16200.0,275160.5625,6.31699991226
443,1027,505301.0,929665.0625,21.341999054
1005,1,400100.0,6794572.0,155.981994629
1450,528,128100.0,8966942.0,205.852996826
1451,529,128200.0,3953528.25,90.7610015869
981,26,402600.0,290692.125,6.67299985886
254,791,605700.0,7997709.0,183.602005005
304,838,609603.0,6313849.5,144.945999146
302,839,609700.0,5442220.5,124.935997009
971,29,402900.0,386396.09375,8.86999988556
342,861,611400.0,8761899.0,201.145996094
1386,1356,153403.0,8404092.0,192.930999756
80,607,16300.0,237923.9375,5.46199989319
85,608,16400.0,310920.21875,7.13800001144
511,1069,507001.0,12003907.0,275.571990967
87,609,16500.0,375412.90625,8.61800003052
495,1080,507600.0,13799981.0,316.803985596
490,1081,507701.0,2634061.25,60.4700012207
489,1082,507702.0,7868548.5,180.636993408
392,1117,509107.0,407326.53125,9.35099983215
368,1155,511701.0,9075569.0,208.345993042
696,1163,511911.0,38070044.0,873.968017578
120,645,22903.0,317431.53125,7.28700017929
656,1167,512001.0,19825150.0,455.12298584
699,1199,512309.0,8956577.0,205.615005493
706,1208,512602.0,97156392.0,2230.40405273
714,1209,512700.0,1516080384.0,34804.4179688
1212,1238,252000.0,3082598.25,70.766998291
1211,1239,252102.0,48957064.0,1123.90002441
75,595,15100.0,177250.65625,4.0689997673
148,654,23400.0,823528.5,18.9060001373
1374,1346,153001.0,2559382.5,58.7550010681
967,32,403200.0,513268.40625,11.7829999924
751,1444,,45395764.0,1042.14294434
999,2,400200.0,659175.3125,15.1330003738
998,3,400300.0,1073932.875,24.6539993286
1000,4,400400.0,695593.375,15.9689998627
1001,5,400500.0,575960.4375,13.2220001221
997,6,400600.0,315090.1875,7.23299980164
996,7,400700.0,852329.3125,19.5669994354
993,8,400800.0,726118.25,16.6690006256
992,9,400900.0,430943.8125,9.89299964905
977,10,401000.0,1165870.125,26.7649993896
976,11,401100.0,879858.625,20.1989994049
975,12,401200.0,660219.125,15.156999588
979,13,401300.0,838646.5625,19.2530002594
984,23,402300.0,420357.96875,9.64999961853
978,14,401400.0,754607.875,17.3229999542
175,682,30202.0,351426.46875,8.06799983978
988,17,401700.0,5889723.0,135.208999634
