parcel,zoning
46892,20388
82275,20521
10917,20495
19798,20495
63335,20521
96143,20495
96177,20495
31179,20495
100437,20495
81528,20434
81918,20434
46986,20495
77159,20424
79001,20433
92623,20495
92651,20495
82003,20495
82045,20495
79344,20521
59524,20495
59541,20495
88741,20495
79707,20521
31392,20495
88651,20495
80945,20502
104423,20495
104434,20495
100469,20495
11396,20521
19833,20495
108062,20521
108067,20521
108216,20521
11282,20495
85973,20495
79448,20495
82552,20495
82576,20495
93126,20521
59743,20495
100688,20495
79549,20495
112025,20540
112190,20540
88678,20256
86276,20495
82827,20495
88978,20521
96388,20495
100771,20495
82666,20495
82685,20495
19656,20256
19658,20505
108240,20256
108309,20521
108388,20521
108689,20521
44500,20506
100857,20495
86235,20495
86250,20495
96623,20495
96633,20495
108113,20495
108282,20495
47271,20495
93227,20495
93243,20495
93249,20495
82804,20495
104536,20495
54418,20495
54432,20495
96851,20495
81388,20498
93314,20495
101093,20495
86357,20521
82989,20521
89088,20495
93409,20495
93426,20495
31670,20495
47369,20505
54526,20495
54542,20495
116015,20540
116102,20521
116162,20540
116212,20521
31780,20495
97005,20495
93732,20521
29806,20563
115975,20563
31817,20495
123625,20521
116682,20563
117316,20563
116798,20540
116629,20521
117028,20521
117251,20521
31859,20495
31871,20495
83023,20495
120097,20540
11814,20495
11818,20495
93929,20521
94016,20521
83044,20495
109278,20521
116865,20267
116875,20267
16524,20267
109350,20521
31963,20503
8233,20563
109434,20521
109686,20521
86420,20495
112290,20591
112300,20591
124467,20521
97041,20495
97067,20495
117131,20303
97151,20495
54593,20495
109975,20521
121012,20540
89244,20521
86032,20502
110059,20521
10531,20246
120194,20593
120195,20593
120649,20563
120453,20593
120616,20521
10866,20505
120963,20540
121073,20540
47541,20495
112530,20563
124281,20502
112659,20521
77105,20195
89297,20495
93719,20495
89557,20521
54657,20495
116033,20495
116302,20567
47644,20495
93877,20495
93878,20495
93879,20495
110204,20521
121441,20521
121161,20563
121201,20563
121668,20563
122022,20563
121418,20545
121716,20256
122544,20521
122570,20521
122789,20535
122321,20563
122345,20563
121473,20579
122499,20563
121904,20540
117180,20495
117432,20495
94135,20495
123998,20495
109677,20495
120064,20495
113105,20521
47806,20495
47850,20495
54882,20495
100949,20521
118324,20256
89618,20495
94207,20521
117751,20495
101370,20495
101382,20495
121179,20567
105238,20505
124741,20505
125251,20505
125371,20521
112756,20495
125088,20563
86070,20500
86767,20500
125605,20521
125647,20521
94181,20495
101641,20502
54970,20495
105056,20495
82939,20267
97369,20495
97431,20495
113463,20540
118697,20540
119012,20521
119044,20521
119088,20521
119323,20579
110378,20495
97450,20495
97493,20495
97522,20495
119354,20521
118105,20495
119317,20563
83960,20252
127692,20563
127767,20521
127698,20563
123158,20521
135610,20540
131328,20521
131474,20521
102365,20521
47867,20521
135423,20535
135485,20563
135510,20521
63684,20504
136162,20258
136555,20464
137208,20563
136469,20563
79805,20433
135524,20521
136613,20364
136440,20482
137729,20246
135660,20521
136811,20623
137442,20326
137461,20540
135915,20521
135917,20521
137778,20623
135962,20521
136949,20565
138304,20623
138495,20535
101824,20495
86788,20495
86849,20495
139005,20473
139206,20650
139187,20473
139584,20651
102063,20495
101978,20495
101990,20495
102032,20495
83496,20495
105285,20521
138406,20246
138547,20593
105651,20521
138774,20480
119758,20540
142863,20521
143345,20512
118542,20303
142925,20563
144589,20285
144093,20454
142973,20521
143618,20579
144044,20540
144072,20540
144284,20521
144177,20540
144366,20579
83643,20495
131870,20521
131909,20521
131955,20521
131999,20521
86894,20495
132420,20521
83797,20495
126060,20521
126065,20521
124469,20540
126258,20521
97736,20495
126305,20521
126498,20563
125735,20267
126655,20563
105662,20540
105783,20540
105859,20540
131410,20495
145448,20285
105884,20521
106033,20521
94491,20505
100677,20256
102477,20495
97766,20495
97847,20495
144859,20300
26779,20495
144483,20563
143790,20531
145246,20540
145102,20521
144732,20587
145528,20581
145470,20300
145520,20521
102513,20495
102529,20495
102545,20495
102557,20495
102566,20495
146722,20540
127245,20521
144292,20454
138887,20364
139369,20649
97970,20495
106239,20521
106526,20540
106725,20540
106532,20521
102627,20495
94508,20495
106646,20521
127816,20521
127799,20540
128393,20521
129179,20540
129153,20521
129198,20521
139771,20165
129111,20563
128202,20521
128264,20521
130513,20563
129065,20521
130681,20563
129363,20521
129382,20521
129445,20521
129598,20535
129614,20521
129766,20521
129767,20521
129814,20521
129855,20521
129869,20521
130192,20521
130391,20521
130605,20521
98083,20495
98089,20495
145433,20459
106166,20563
102711,20495
102730,20495
145941,20521
145960,20467
146306,20540
146137,20464
146266,20464
146337,20290
