id,name,max_height,city,max_far,coverage,type1,type2,type3,type4,type5,type6,type7,type8,type9,type10,type11,type12,type13,type14
101175,"RESIDENTIAL- HOUSE, THREE FAMILY-130-L",130.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101176,"RESIDENTIAL- HOUSE, THREE FAMILY-40-X",40.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101177,"RESIDENTIAL- HOUSE, THREE FAMILY-50-X",50.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101178,"RESIDENTIAL- HOUSE, THREE FAMILY-65-A",65.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101179,"RESIDENTIAL- HOUSE, THREE FAMILY-65-A-1",65.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101180,"RESIDENTIAL- HOUSE, THREE FAMILY-65-N",65.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101181,"RESIDENTIAL- HOUSE, THREE FAMILY-65-X",65.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101182,"RESIDENTIAL- HOUSE, THREE FAMILY-80-A",80.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101183,"RESIDENTIAL- HOUSE, THREE FAMILY-80-D",80.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101184,"RESIDENTIAL- HOUSE, THREE FAMILY-85-X",85.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101185,"RESIDENTIAL- HOUSE, THREE FAMILY-OS",0.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101186,"RESIDENTIAL - MIXED, LOW DENSITY-40-X",40.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101187,TRANSBAY DOWNTOWN RESIDENTIAL-OS,0.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101188,DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT)-200-400-S,200.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101189,"RESIDENTIAL- MIXED, LOW DENSITY-40-X",40.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101191,"RESIDENTIAL- MIXED, LOW DENSITY-65-A",65.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101192,TRANSBAY DOWNTOWN RESIDENTIAL-50/165/400-TB,400.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101193,"RESIDENTIAL- MIXED, MODERATE DENSITY-40-X",40.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101194,"RESIDENTIAL- MIXED, MODERATE DENSITY-65-A",65.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101195,"RESIDENTIAL- MIXED, MODERATE DENSITY-65-A-1",65.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101196,SOUTH OF MARKET RESIDENTIAL ENCLAVE-130-L,130.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
107512,"RESIDENTIAL- HOUSE, ONE FAMILY-65-J",65.0,101,5.0,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
107513,"RESIDENTIAL- HOUSE, ONE FAMILY-80-A",80.0,101,5.0,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
107514,"RESIDENTIAL- HOUSE, ONE FAMILY-OS",0.0,101,5.0,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
107515,"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED-26-X",26.0,101,5.0,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
107516,"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED-28-X",28.0,101,5.0,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
107517,"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED-40-X",40.0,101,5.0,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
107518,"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED-45-X",45.0,101,5.0,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101190,DOWNTOWN- OFFICE-200-S,200.0,101,9.0,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101197,DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT)-350-X,350.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101198,"RESIDENTIAL- MIXED, MODERATE DENSITY-OS",0.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101199,"RESIDENTIAL- MIXED, MEDIUM DENSITY-105-D",105.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101200,PUBLIC-85-X,85.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101201,"RESIDENTIAL- MIXED, MEDIUM DENSITY-40-X",40.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101202,"RESIDENTIAL- MIXED, MEDIUM DENSITY-50-X",50.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101203,"RESIDENTIAL- MIXED, MEDIUM DENSITY-65-A",65.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101204,"RESIDENTIAL- MIXED, MEDIUM DENSITY-65-N",65.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101205,"RESIDENTIAL- MIXED, MEDIUM DENSITY-80-A",80.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
